feature,group,rows,default_rate,mean_score,high_risk_flag_rate,roc_auc,recall_high_risk_among_defaults
CODE_GENDER,F,38979,0.083147,0.080323,0.079273,0.786109,0.319037
CODE_GENDER,M,22524,0.111969,0.109018,0.136077,0.787855,0.423077
NAME_INCOME_TYPE,Commercial associate,15461,0.084859,0.082778,0.08266,0.786725,0.323171
NAME_INCOME_TYPE,Pensioner,7702,0.060244,0.057821,0.033757,0.774157,0.217672
NAME_INCOME_TYPE,State servant,4749,0.064224,0.063299,0.052853,0.773744,0.259016
NAME_INCOME_TYPE,Working,33578,0.109536,0.105987,0.129936,0.785018,0.406199
NAME_EDUCATION_TYPE,Higher education,17921,0.060153,0.057495,0.041571,0.78375,0.22449
NAME_EDUCATION_TYPE,Incomplete higher,2295,0.088017,0.090482,0.08671,0.771821,0.267327
NAME_EDUCATION_TYPE,Lower secondary,612,0.142157,0.128421,0.165033,0.798522,0.45977
NAME_EDUCATION_TYPE,Secondary / secondary special,40635,0.108183,0.105016,0.125729,0.782446,0.401501
NAME_FAMILY_STATUS,Civil marriage,5765,0.11431,0.109707,0.14033,0.78852,0.437026
NAME_FAMILY_STATUS,Married,41509,0.088607,0.087051,0.09304,0.787002,0.343665
NAME_FAMILY_STATUS,Separated,3835,0.089439,0.090738,0.093351,0.772921,0.355685
NAME_FAMILY_STATUS,Single / not married,8157,0.113522,0.103074,0.123207,0.800075,0.415767
NAME_FAMILY_STATUS,Widow,2238,0.070152,0.067977,0.054513,0.785207,0.267516
NAME_CONTRACT_TYPE,Cash loans,55288,0.097616,0.094707,0.107872,0.788599,0.380211
NAME_CONTRACT_TYPE,Revolving loans,6216,0.05888,0.056402,0.030888,0.779831,0.13388
OCCUPATION_TYPE,Accountants,2218,0.05771,0.052112,0.030207,0.768027,0.140625
OCCUPATION_TYPE,Cleaning staff,784,0.119898,0.116216,0.140306,0.759282,0.393617
OCCUPATION_TYPE,Cooking staff,1166,0.127787,0.125574,0.171527,0.805646,0.489933
OCCUPATION_TYPE,Core staff,6369,0.072539,0.067941,0.061234,0.779923,0.281385
OCCUPATION_TYPE,Drivers,3867,0.130851,0.124645,0.161107,0.745397,0.401186
OCCUPATION_TYPE,High skill tech staff,2503,0.067918,0.067907,0.05833,0.777523,0.241176
OCCUPATION_TYPE,Laborers,11364,0.123548,0.117848,0.151091,0.784074,0.440883
OCCUPATION_TYPE,Low-skill Laborers,426,0.20892,0.186019,0.302817,0.743674,0.573034
OCCUPATION_TYPE,Managers,4943,0.069796,0.065764,0.056039,0.798817,0.257971
OCCUPATION_TYPE,Medicine staff,1724,0.077726,0.075859,0.071926,0.789658,0.335821
OCCUPATION_TYPE,Private service staff,664,0.075301,0.078333,0.064759,0.769837,0.2
OCCUPATION_TYPE,Realty agents,210,0.114286,0.084609,0.080952,0.757504,0.166667
OCCUPATION_TYPE,Sales staff,6876,0.115038,0.111214,0.13409,0.778194,0.399494
OCCUPATION_TYPE,Secretaries,292,0.092466,0.074288,0.065068,0.714326,0.222222
OCCUPATION_TYPE,Security staff,1202,0.114809,0.126666,0.168885,0.7746,0.478261
OCCUPATION_TYPE,Waiters/barmen staff,269,0.096654,0.122361,0.167286,0.706553,0.346154
OCCUPATION_TYPE,__MISSING__,16389,0.073525,0.074302,0.067728,0.789063,0.312033
ORGANIZATION_TYPE,Agriculture,488,0.122951,0.130877,0.184426,0.785456,0.45
ORGANIZATION_TYPE,Bank,655,0.050382,0.052517,0.029008,0.776649,0.181818
ORGANIZATION_TYPE,Business Entity Type 1,1214,0.093081,0.081846,0.083196,0.799474,0.283186
ORGANIZATION_TYPE,Business Entity Type 2,2115,0.099764,0.08959,0.097872,0.796418,0.379147
ORGANIZATION_TYPE,Business Entity Type 3,14690,0.102723,0.103166,0.124983,0.787148,0.39894
ORGANIZATION_TYPE,Construction,1590,0.140252,0.119334,0.162264,0.75159,0.399103
ORGANIZATION_TYPE,Government,2030,0.080788,0.076894,0.075369,0.783955,0.29878
ORGANIZATION_TYPE,Housing,583,0.116638,0.082929,0.087479,0.811907,0.294118
ORGANIZATION_TYPE,Industry: type 1,204,0.142157,0.143838,0.230392,0.813892,0.586207
ORGANIZATION_TYPE,Industry: type 11,533,0.090056,0.09816,0.103189,0.739132,0.3125
ORGANIZATION_TYPE,Industry: type 3,683,0.124451,0.120923,0.161054,0.814145,0.505882
ORGANIZATION_TYPE,Industry: type 4,200,0.115,0.124575,0.155,0.855195,0.521739
ORGANIZATION_TYPE,Industry: type 7,263,0.079848,0.095991,0.106464,0.874164,0.52381
ORGANIZATION_TYPE,Industry: type 9,827,0.065296,0.075562,0.065296,0.792128,0.351852
ORGANIZATION_TYPE,Kindergarten,1418,0.09591,0.080647,0.074048,0.772956,0.272059
ORGANIZATION_TYPE,Medicine,2218,0.082958,0.07254,0.068981,0.772891,0.315217
